eid1|fname1|abc2|2014-01-01 00:00:00
eid1|fname2|1232|2014-01-01 00:00:00
eid1|fname3|1.12|2014-01-01 00:00:00
eid1|fname4|false|2014-01-01 00:00:00
eid1|fname5|12342|2014-01-01 00:00:00
eid2|fname1|def2|2014-02-01 01:00:00
eid2|fname2|4562|2014-02-01 02:00:00
eid2|fname3|2.22|2014-02-01 03:00:00
eid2|fname4|true|2014-02-01 04:00:00
eid2|fname5|45672|2014-02-01 05:00:00
eid1|fname1|ghi2|2014-03-01 00:00:00
eid1|fname2|7892|2014-03-02 10:00:00
eid1|fname3|3.32|2014-03-03 00:00:00
eid1|fname4|false|2014-03-04 20:00:00
eid1|fname5|789102|2014-03-05 00:00:00
eid2|fname1|jkl2|2014-04-01 00:00:00
eid2|fname2|1011122|2014-04-01 00:00:00
eid2|fname3|4.42|2014-04-01 00:00:00
eid2|fname4|true|2014-04-01 00:00:00
eid2|fname5|101112132|2014-04-01 00:00:00
