eid1|fname1|abc|2014-01-01 00:00:00
eid1|fname2|123|2014-01-01 00:00:00
eid1|fname3|1.1|2014-01-01 00:00:00
eid1|fname4|true|2014-01-01 00:00:00
eid1|fname5|1234|2014-01-01 00:00:00
eid2|fname1|def|2014-02-01 01:00:00
eid2|fname2|456|2014-02-01 02:00:00
eid2|fname3|2.2|2014-02-01 03:00:00
eid2|fname4|false|2014-02-01 04:00:00
eid2|fname5|4567|2014-02-01 05:00:00
eid1|fname1|ghi|2014-03-01 00:00:00
eid1|fname2|789|2014-03-02 10:00:00
eid1|fname3|3.3|2014-03-03 00:00:00
eid1|fname4|true|2014-03-04 20:00:00
eid1|fname5|78910|2014-03-05 00:00:00
eid2|fname1|jkl|2014-04-01 00:00:00
eid2|fname2|101112|2014-04-01 00:00:00
eid2|fname3|4.4|2014-04-01 00:00:00
eid2|fname4|false|2014-04-01 00:00:00
eid2|fname5|10111213|2014-04-01 00:00:00
